SAMPLE_ID,PIPELINE,GENOME_BUILD,FASTQ1,FASTQ2,FASTQ1_TUMOR,FASTQ2_TUMOR,CLEANUP LIB_ID,PL_ID,PU_ID
Sample1,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B10087.lane_8.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B10087.lane_8.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample2,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR126.lane_7.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR126.lane_7.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample3,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B10095.lane_8.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B10095.lane_8.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample4,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR127.lane_7.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR127.lane_7.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample5,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B40014.lane_8.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B40014.lane_8.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample6,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR128.lane_7.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR128.lane_7.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample7,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B40027.lane_8.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B40027.lane_8.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample8,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR129.lane_7.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR129.lane_7.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample9,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B4006.lane_8.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_B4006.lane_8.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample10,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR130.lane_7.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR130.lane_7.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample11,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR124.lane_7.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR124.lane_7.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample12,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR140.lane_7.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR140.lane_7.R2.fastq.gz,,,,lib1,Illumina,XXX
Sample13,gatk4_germline,HG1K37,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR125.lane_7.R1.fastq.gz,/media/EXOMEDATA/exomes/wes_999_v4/fastqs/wes_40.sample_BR125.lane_7.R2.fastq.gz,,,,lib1,Illumina,XXX
